,Student_ID,Age,Hours_of_Screen_Time,Hours_of_Sleep,Daily_Study_Hours,Physical_Activity,Mental_Clarity_Score,Mood,
,S1234,19,2.1,8.2,3.4,65,10,Stressed,
,S1235,19,9.9,4.5,5,5,1,Happy,
,S1236,19,4.4,7.6,0.9,73,9,Neutral,
,S1237,24,5.2,5,2.2,18,7,Stressed,
,S1238,23,3.7,5.3,2.6,7,5,Happy,
,S1239,18,2.5,7.4,1.8,21,2,Stressed,
,S1240,22,9.4,7,4,33,7,Happy,
,S1241,18,7.3,8.4,3.6,23,9,Happy,
,S1242,20,9.5,4.9,1.2,66,7,Happy,
,S1243,23,6.8,7.8,0.2,51,3,Neutral,
,S1244,19,9.8,7.6,1,76,3,Happy,
,S1245,17,7.1,6.8,1.8,72,8,Stressed,
,S1246,23,3.1,6.4,0.5,81,9,Happy,
,S1247,24,7,8.3,5.1,2,4,Stressed,
,S1248,17,11.5,5.7,1.9,84,8,Neutral,
,S1249,16,2.4,8.8,2.4,36,7,Neutral,
,S1250,24,9.8,4.1,2.9,10,10,Happy,
,S1251,16,10.7,8.7,4,27,4,Stressed,
,S1252,17,7.2,8.8,0.5,57,9,Neutral,
,S1253,19,6.6,4.6,3.3,77,10,Neutral,
,S1254,18,11.6,9,1.1,60,9,Happy,
,S1255,22,2.6,6.4,5.3,61,4,Happy,
,S1256,23,6.8,5.2,2.2,21,4,Happy,
,S1257,23,6,7,2.7,28,2,Stressed,
,S1258,19,8.9,5,1.6,52,5,Happy,
,S1259,22,6.9,8.6,2.8,76,7,Happy,
,S1260,16,11.1,6.8,1.4,18,6,Stressed,
,S1261,18,2.7,7.9,1.6,74,10,Stressed,
,S1262,22,2.8,5.9,0.4,23,2,Happy,
,S1263,16,8.1,6.7,4.5,79,2,Stressed,
,S1264,22,2.7,5.8,4,84,7,Stressed,
,S1265,20,4.8,5.3,0.5,65,7,Happy,
,S1266,23,8.3,6.6,2.1,33,6,Stressed,
,S1267,20,7.5,6.5,3.2,21,6,Happy,
,S1268,22,5.3,4.5,5.8,87,4,Happy,
,S1269,24,11.9,8.9,3.5,43,6,Stressed,
,S1270,23,7.3,6.3,3.3,58,6,Happy,
,S1271,18,6.5,8.2,5,76,10,Neutral,
,S1272,19,8.1,8.6,4.9,75,1,Stressed,
,S1273,20,3,5.9,2.5,8,5,Stressed,
,S1274,19,9,6.1,3.2,29,3,Stressed,
,S1275,16,10.5,6.8,5.2,48,6,Happy,
,S1276,25,8.5,5.1,2.8,49,10,Happy,
,S1277,24,9.7,4.7,5.3,16,8,Stressed,
,S1278,16,9.2,5.3,2.9,13,10,Happy,
,S1279,21,4.2,8.7,0.5,2,3,Neutral,
,S1280,16,6.5,6.9,5.4,25,8,Neutral,
,S1281,16,4.3,6.1,4.3,66,1,Neutral,
,S1282,25,5.4,4.8,3,64,4,Stressed,
,S1283,23,6.5,5.6,5.4,87,4,Happy,
,S1284,24,6.2,5.9,4.8,53,6,Stressed,
,S1285,24,3,8.2,4.1,19,3,Neutral,
,S1286,18,6.3,6.5,3.7,77,2,Neutral,
,S1287,16,8.7,7.3,0.7,12,2,Neutral,
,S1288,24,5.7,7.4,4.5,22,1,Stressed,
,S1289,17,3.5,5.3,1,60,4,Stressed,
,S1290,18,11.2,8.1,5.9,78,10,Neutral,
,S1291,17,2.7,8.8,5.8,76,3,Neutral,
,S1292,25,10.3,7.2,4.9,4,5,Happy,
,S1293,17,2.9,6.5,0.8,68,1,Happy,
,S1294,19,3,4.8,2.5,64,6,Neutral,
,S1295,22,9.4,8,5.9,15,2,Happy,
,S1296,17,10.1,4.8,2.6,11,5,Neutral,
,S1297,25,7.6,7.6,6,61,8,Neutral,
,S1298,19,7.9,6.4,3.8,84,8,Neutral,
,S1299,25,7.6,8.6,5,16,1,Happy,
,S1300,25,5.3,6.7,1.5,77,6,Neutral,
,S1301,16,3.2,7.2,5.5,69,4,Neutral,
,S1302,25,5.5,4.3,5.5,0,9,Happy,
,S1303,17,8.7,4.2,0.4,86,4,Neutral,
,S1304,22,9.5,8.2,2.3,83,4,Happy,
,S1305,25,10.7,8.7,2.4,55,9,Neutral,
,S1306,25,9.2,7.3,2,66,9,Happy,
,S1307,24,11.7,7.8,1.7,53,5,Stressed,
,S1308,21,8,6.1,2.7,47,9,Neutral,
,S1309,20,5.5,8.2,5.2,5,8,Happy,
,S1310,19,7.8,5.2,4.7,89,10,Stressed,
,S1311,21,4.1,7.5,3.7,67,3,Neutral,
,S1312,19,8.6,4,3.1,54,1,Happy,
,S1313,20,4.2,6.5,2.5,29,7,Happy,
,S1314,22,3.1,5.9,2.5,61,10,Stressed,
,S1315,18,10.5,7.1,0.9,48,9,Neutral,
,S1316,20,5.7,7.3,3.5,44,1,Happy,
,S1317,23,9.6,7.1,4.6,75,5,Stressed,
,S1318,21,7.7,6.4,5.6,89,3,Stressed,
,S1319,17,10.1,6.4,5.5,73,1,Happy,
,S1320,16,10.5,4,3.4,12,5,Neutral,
,S1321,23,11.7,6.8,0.6,54,4,Stressed,
,S1322,25,10.2,4.1,1.7,17,10,Neutral,
,S1323,25,8.1,6.6,3.2,32,5,Happy,
,S1324,17,8.4,5.4,2.1,61,1,Happy,
,S1325,17,2.3,8.9,2.5,29,8,Happy,
,S1326,24,11.3,4.1,2.3,10,1,Happy,
,S1327,19,10.3,8.1,2.9,36,2,Stressed,
,S1328,24,4.7,7.4,3.7,76,7,Stressed,
,S1329,20,3.8,8,0.2,69,5,Neutral,
,S1330,18,9,8.5,1.7,52,6,Neutral,
,S1331,21,5.1,4.5,0.9,32,2,Happy,
,S1332,17,5.4,4.5,3.7,24,1,Neutral,
,S1333,19,2.1,4.7,4.2,0,5,Happy,
,S1334,21,10.7,5,0.2,90,7,Stressed,
,S1335,20,7.7,6.6,5.3,0,4,Stressed,
,S1336,18,6,8.1,2,73,7,Happy,
,S1337,23,3.4,5.3,1.4,66,9,Happy,
,S1338,24,8.3,6,4.5,15,2,Stressed,
,S1339,20,2.3,5.9,5.5,66,6,Neutral,
,S1340,25,9.5,6,5.4,0,8,Neutral,
,S1341,24,4.2,6.8,0.1,48,10,Happy,
,S1342,16,6.2,9,4.9,83,9,Stressed,
,S1343,24,5.4,5.1,1.8,26,2,Neutral,
,S1344,20,5.7,7.4,1.7,88,3,Neutral,
,S1345,17,9.2,8.2,2.9,40,4,Stressed,
,S1346,18,9.8,7.3,4.2,52,9,Happy,
,S1347,20,7.7,8.3,0.6,46,8,Stressed,
,S1348,17,2.8,7.8,5.2,13,9,Stressed,
,S1349,17,2.5,4.5,0.8,19,1,Neutral,
,S1350,24,3.6,5.9,5.8,54,1,Neutral,
,S1351,18,8.2,6.8,2.7,83,4,Neutral,
,S1352,20,8.7,4.3,5,74,9,Neutral,
,S1353,20,4.7,4,1.6,32,5,Stressed,
,S1354,25,8.6,4.9,2.5,33,6,Happy,
,S1355,19,6.9,6.5,3.9,68,8,Stressed,
,S1356,21,6.4,6.2,1.1,54,7,Happy,
,S1357,19,4.7,7.9,1.3,72,3,Happy,
,S1358,20,9.5,6.8,4.9,46,1,Neutral,
,S1359,24,3.1,8.3,4.4,78,6,Stressed,
,S1360,23,6.3,4.5,4.6,35,6,Neutral,
,S1361,20,4.8,6.6,5.2,87,6,Happy,
,S1362,16,8.8,4.2,4.9,50,5,Stressed,
,S1363,17,6.9,5.1,3.1,26,4,Stressed,
,S1364,22,8.7,8.3,1,52,9,Neutral,
,S1365,20,2.5,8.4,1.9,70,5,Neutral,
,S1366,16,6,6.4,3,71,1,Stressed,
,S1367,16,8,4.2,0.8,61,5,Neutral,
,S1368,21,2.1,4.4,5.1,22,7,Neutral,
,S1369,18,5,8.6,5.3,47,1,Happy,
,S1370,20,4.1,8.5,0.2,71,9,Stressed,
,S1371,18,3.4,6.8,1.2,71,5,Stressed,
,S1372,23,4.6,4.2,5,61,4,Happy,
,S1373,24,5.3,8.6,5,32,3,Neutral,
,S1374,22,2.1,5.6,1.5,39,6,Stressed,
,S1375,24,9.5,8.8,2.7,73,7,Neutral,
,S1376,16,3.8,6.9,5.5,44,3,Happy,
,S1377,17,5.8,7.8,4.2,90,2,Neutral,
,S1378,17,9,7.6,1.6,50,7,Neutral,
,S1379,18,7,6,4.9,17,9,Stressed,
,S1380,24,10.3,4.4,3,84,10,Happy,
,S1381,16,10.1,4.8,3.8,15,4,Happy,
,S1382,21,2.7,5.2,0.7,29,7,Stressed,
,S1383,25,10.6,8.2,0.2,57,4,Happy,
,S1384,24,2.4,5.9,2.2,89,10,Neutral,
,S1385,18,2.2,8.5,3.6,20,3,Stressed,
,S1386,22,11.2,5.7,1.1,12,7,Happy,
,S1387,18,10.6,7.8,5.2,27,5,Neutral,
,S1388,16,7.8,4.7,3.5,65,10,Stressed,
,S1389,20,7.7,8.9,2.1,51,6,Neutral,
,S1390,21,9.1,7.6,1,43,8,Happy,
,S1391,16,6.2,6.5,5.4,70,9,Stressed,
,S1392,21,3.2,8.9,4.5,78,3,Stressed,
,S1393,19,2.2,4.3,4.1,89,4,Neutral,
,S1394,19,5.2,6.2,1.7,87,3,Neutral,
,S1395,17,10,8.2,2.3,90,10,Happy,
,S1396,21,8.2,5.7,1,6,9,Stressed,
,S1397,24,10.3,7.8,3.4,20,4,Neutral,
,S1398,22,11.2,8.8,5.8,49,3,Stressed,
,S1399,25,2.9,6,5.1,81,5,Happy,
,S1400,18,10.4,7.9,3.9,0,9,Happy,
,S1401,19,4.4,4.1,4.1,11,3,Happy,
,S1402,18,7.9,5.4,1.6,18,7,Happy,
,S1403,18,7.2,9,2.5,60,3,Happy,
,S1404,22,6,6.5,0.1,76,10,Stressed,
,S1405,16,5.1,5.8,4.7,55,3,Stressed,
,S1406,18,5.4,8.7,4.6,11,6,Happy,
,S1407,21,5.3,6.2,0.1,8,2,Neutral,
,S1408,22,3.7,7.4,5.5,33,9,Neutral,
,S1409,19,7.1,7.3,3.9,28,9,Happy,
,S1410,20,3.1,4.4,3.6,47,2,Stressed,
,S1411,18,7.1,7.1,0.1,10,3,Stressed,
,S1412,17,11.1,8,1.5,77,6,Neutral,
,S1413,22,5.5,7.6,4.8,4,3,Neutral,
,S1414,16,9.3,4.4,1.8,49,1,Stressed,
,S1415,23,10.2,4.8,5.8,51,6,Neutral,
,S1416,19,10.2,7.6,3.9,78,7,Happy,
,S1417,19,4.4,7.2,2.5,83,7,Happy,
,S1418,23,3.5,7.7,2.3,66,5,Neutral,
,S1419,21,4,5.6,2.1,36,8,Happy,
,S1420,20,8,4.5,1.5,76,5,Neutral,
,S1421,19,9.6,4,2.8,7,3,Stressed,
,S1422,19,8.6,5.5,4.1,22,4,Happy,
,S1423,16,3.8,5.8,4.9,81,2,Neutral,
,S1424,19,9.7,5.3,2.4,63,3,Happy,
,S1425,22,6.9,4.7,0.6,56,3,Happy,
,S1426,21,9.5,4.9,3.1,1,1,Stressed,
,S1427,20,9.6,6.2,4,25,10,Stressed,
,S1428,17,6.5,6.8,5.1,84,10,Stressed,
,S1429,20,11.2,6,2.2,66,5,Neutral,
,S1430,21,7.6,4.1,3.9,36,10,Stressed,
,S1431,24,8.4,5.8,3.7,24,10,Stressed,
,S1432,22,8.2,4.5,1.8,4,10,Happy,
,S1433,24,10.6,7,0.6,76,4,Stressed,
,S1434,21,8.3,5.6,0.4,65,10,Stressed,
,S1435,16,3.5,5.9,5.9,66,4,Happy,
,S1436,17,2.7,5.5,3.8,89,4,Happy,
,S1437,20,6.4,5.9,5.2,29,1,Happy,
,S1438,18,5,4.4,1.6,78,6,Stressed,
,S1439,25,4.7,8.5,4.3,21,2,Happy,
,S1440,20,2.6,8.5,5.4,86,8,Neutral,
,S1441,16,7.1,8.9,1.8,4,3,Stressed,
,S1442,17,5.1,6.9,0.9,46,9,Happy,
,S1443,25,6.5,4.8,4.6,30,10,Neutral,
,S1444,22,2.6,5.9,5.4,83,8,Stressed,
,S1445,21,10.3,4.7,4.8,0,6,Happy,
,S1446,21,2.8,5.5,4.8,20,3,Happy,
,S1447,22,10.6,6.5,3.6,11,7,Stressed,
,S1448,25,10.6,4.3,4,35,8,Stressed,
,S1449,24,8.2,6.2,4.1,51,8,Happy,
,S1450,17,7.1,6.1,4.3,45,3,Happy,
,S1451,22,6.6,6.4,3.9,85,3,Happy,
,S1452,25,7.5,4.4,6,50,4,Stressed,
,S1453,19,9.9,5.3,1.6,51,4,Happy,
,S1454,20,11,5.2,2.5,75,1,Neutral,
,S1455,16,6.5,7.1,2.3,25,7,Happy,
,S1456,22,10.1,7,0.2,66,1,Neutral,
,S1457,16,8.5,5,4.2,1,5,Stressed,
,S1458,24,5.2,4.5,3.4,90,7,Happy,
,S1459,24,6.8,5.5,1.1,8,4,Stressed,
,S1460,19,3.5,8.7,4.4,11,4,Happy,
,S1461,21,2.6,5.7,1.3,70,4,Happy,
,S1462,22,3,7.1,3.2,36,2,Happy,
,S1463,17,11,8,4.7,71,3,Neutral,
,S1464,21,5.4,5.6,5.4,74,8,Stressed,
,S1465,25,9.1,5.7,4,44,10,Stressed,
,S1466,21,7,8.1,3,44,8,Happy,
,S1467,17,3.7,8.3,5.1,35,6,Happy,
,S1468,20,4.5,8.9,5,28,8,Happy,
,S1469,24,6.4,4.7,5.3,77,4,Neutral,
,S1470,20,6.4,5.6,1.1,24,7,Neutral,
,S1471,22,7.2,8.7,0.6,58,7,Stressed,
,S1472,21,3.6,5,0.8,51,1,Stressed,
,S1473,22,5.7,5.6,1.6,73,10,Neutral,
,S1474,20,4.8,8.8,4.9,0,7,Neutral,
,S1475,24,6.1,8.8,4.6,33,6,Happy,
,S1476,18,5.4,5.5,1.1,22,7,Stressed,
,S1477,19,8,7.5,4.1,52,10,Stressed,
,S1478,22,9.9,6.5,2,64,10,Stressed,
,S1479,22,8.5,6.9,0.5,13,10,Happy,
,S1480,18,2.7,5.2,2.1,71,9,Neutral,
,S1481,25,2.9,5.9,4.5,9,9,Happy,
,S1482,25,8.8,8.1,1.8,64,1,Happy,
,S1483,20,4.8,6,4.7,37,9,Stressed,
,S1484,22,9.2,4.6,2,43,2,Happy,
,S1485,24,8.6,6.8,1.6,14,8,Neutral,
,S1486,16,11.1,7,1.8,65,8,Happy,
,S1487,20,10.7,6.7,5.1,32,1,Happy,
,S1488,20,5.3,7.4,2.8,68,4,Neutral,
,S1489,19,7.8,6.8,5.2,73,9,Happy,
,S1490,22,3.4,8.8,3.5,32,9,Neutral,
,S1491,25,5.5,6.3,5.7,88,7,Happy,
,S1492,25,11.7,7.5,0.4,56,1,Stressed,
,S1493,21,9,6.2,5.3,48,9,Neutral,
