stress_level,hours_of_sleep,Age,Hours_of_Screen_Time,Physical_Activity,Gender,study_load,exam_session
Very High,8.5,18,2.7,Low,Female,7.7,Exam
Normal,5.1,22,4.7,Low,Male,5.2,No Exam
Normal,3.3,18,4.1,Low,Female,5.6,No Exam
Normal,7.0,21,6.3,Moderate,Male,4.1,Nearing
High,6.1,23,7.1,Low,Female,5.0,Exam
Low,8.0,22,7.5,Moderate,Female,1.7,No Exam
Normal,6.3,23,8.0,Low,Female,3.6,No Exam
Normal,5.6,20,8.7,High,Male,3.4,No Exam
High,6.4,18,7.2,Low,Male,6.3,Nearing
Normal,8.1,23,9.8,Low,Female,3.9,No Exam
Normal,7.4,19,6.2,High,Male,3.9,No Exam
Normal,3.0,18,5.7,Low,Male,4.2,No Exam
Normal,6.8,20,7.2,Low,Male,3.5,No Exam
Normal,6.9,23,5.6,Moderate,Male,5.5,Nearing
Normal,6.5,22,9.7,Moderate,Male,5.8,No Exam
Normal,5.6,20,8.3,Moderate,Male,6.7,No Exam
Normal,8.3,19,7.5,Low,Male,6.3,No Exam
Normal,8.4,23,6.3,Low,Female,6.1,No Exam
High,3.2,24,5.2,Low,Male,4.3,Nearing
High,5.3,24,7.4,Low,Male,4.2,Nearing
Low,6.3,21,3.7,High,Female,3.3,No Exam
Low,7.9,18,9.1,Moderate,Female,3.2,No Exam
Normal,6.6,22,5.6,Low,Female,5.4,No Exam
Normal,5.5,21,6.6,Moderate,Female,3.6,Nearing
Very High,7.6,23,4.2,Low,Male,7.9,Exam
High,6.2,24,7.4,High,Female,4.9,No Exam
Normal,6.3,24,5.1,Low,Female,8.0,Nearing
High,6.5,24,7.3,Low,Male,6.1,Exam
Low,7.4,23,7.5,Moderate,Male,3.4,No Exam
Very High,6.0,24,4.7,Moderate,Male,4.9,Exam
Normal,7.5,20,3.8,Moderate,Female,1.7,No Exam
Low,6.4,23,9.1,Low,Male,5.4,No Exam
High,4.9,22,5.6,Low,Female,3.6,Nearing
High,6.4,21,6.4,Low,Male,2.8,Nearing
High,5.0,22,7.0,Low,Male,8.0,Exam
High,6.6,19,3.5,High,Female,7.1,Nearing
Very High,7.7,24,6.9,Low,Male,7.0,Exam
High,4.9,19,6.2,Low,Male,6.6,Exam
Normal,7.0,18,4.7,Moderate,Male,2.5,Nearing
Low,5.3,18,3.7,Low,Male,4.2,No Exam
Low,6.8,19,7.2,Moderate,Male,4.3,No Exam
High,7.8,23,8.3,High,Female,1.6,Nearing
High,3.3,22,6.4,Low,Female,3.9,No Exam
Normal,4.8,19,3.1,High,Male,3.9,Nearing
Low,5.9,18,3.9,Moderate,Female,5.3,No Exam
High,7.0,19,5.1,Low,Female,10.0,Exam
Low,6.3,23,9.1,Low,Female,5.0,No Exam
High,6.4,19,5.5,Low,Male,5.3,Nearing
Normal,9.6,22,5.1,Moderate,Male,4.5,Nearing
High,4.7,21,2.7,Moderate,Male,6.5,Exam
Low,8.2,23,4.7,High,Female,2.9,No Exam
High,6.0,18,3.5,High,Female,8.8,Nearing
Low,7.3,22,4.0,Moderate,Male,4.8,No Exam
Very High,9.7,19,6.2,Moderate,Male,4.2,Exam
Low,7.5,19,5.2,Low,Female,6.9,No Exam
Normal,7.1,21,9.4,Moderate,Female,3.2,No Exam
High,8.9,18,8.2,Low,Male,6.4,Nearing
Low,8.2,18,4.8,Moderate,Female,7.8,No Exam
Normal,5.3,20,4.2,Low,Female,4.5,No Exam
High,6.9,18,8.8,Low,Female,9.1,Nearing
High,3.9,21,9.3,Low,Female,6.3,No Exam
Normal,5.7,24,1.6,Low,Female,6.3,No Exam
Normal,7.0,20,6.2,Moderate,Female,7.7,No Exam
High,5.6,20,5.5,Low,Female,8.3,No Exam
Normal,6.9,19,7.3,Moderate,Male,5.5,No Exam
Normal,6.5,19,9.9,Low,Male,6.6,Nearing
High,7.3,18,5.0,Moderate,Female,7.8,No Exam
Low,5.9,20,1.9,Low,Female,2.7,No Exam
Normal,5.1,19,7.2,Low,Female,1.5,No Exam
Normal,8.7,21,8.8,Moderate,Male,4.9,Nearing
High,5.8,19,5.4,Low,Male,1.5,Exam
High,7.5,23,4.6,Low,Female,4.4,Exam
Normal,8.7,23,5.1,Low,Male,5.6,No Exam
Low,6.7,19,7.7,Low,Female,4.4,No Exam
Low,5.2,20,5.1,Moderate,Female,4.7,No Exam
Normal,6.2,24,6.7,Low,Female,3.0,Nearing
Normal,8.0,24,6.1,Moderate,Female,6.6,No Exam
High,6.8,20,5.8,High,Female,2.9,No Exam
Normal,4.7,22,7.4,Low,Female,1.0,No Exam
Normal,7.4,24,5.0,High,Female,4.6,No Exam
High,7.7,23,5.1,Moderate,Male,6.8,Nearing
High,6.0,21,7.6,Moderate,Female,5.2,Exam
Low,7.4,20,4.0,Moderate,Male,2.7,No Exam
Normal,6.9,18,4.2,Moderate,Female,5.2,Nearing
Low,6.2,23,3.5,Moderate,Female,5.9,No Exam
High,4.6,21,7.7,Low,Male,5.2,Exam
High,8.1,21,5.8,Low,Male,4.5,Exam
Normal,7.6,20,3.4,Low,Female,6.0,No Exam
Low,7.4,21,7.7,Low,Male,1.5,No Exam
High,8.8,20,4.9,Low,Female,3.2,Exam
High,7.9,24,4.3,Low,Female,2.4,Nearing
High,7.5,19,5.6,Low,Male,7.7,Exam
Very High,3.2,23,9.0,Moderate,Male,6.4,Exam
High,8.3,22,5.2,High,Male,5.4,Nearing
High,6.6,19,7.2,High,Male,2.1,Exam
High,7.0,23,7.5,Low,Female,6.5,Nearing
High,7.0,20,6.9,Moderate,Male,7.8,Nearing
Normal,7.7,23,8.5,High,Male,6.1,No Exam
Normal,8.2,24,4.6,Low,Male,4.9,No Exam
High,7.5,20,3.9,Low,Male,6.3,Nearing
Normal,7.2,19,3.9,High,Male,5.5,No Exam
Normal,6.8,18,5.7,Moderate,Female,6.9,Nearing
High,3.0,18,4.1,Low,Female,6.8,Exam
Normal,6.1,23,6.3,Low,Male,4.6,Nearing
Normal,5.1,18,6.2,Low,Male,3.7,No Exam
Low,8.3,20,8.0,High,Female,4.2,No Exam
High,7.4,21,6.6,Moderate,Male,6.1,No Exam
Normal,5.8,20,5.2,Low,Female,4.3,No Exam
High,6.0,21,6.8,Low,Female,3.5,Nearing
High,5.9,19,3.9,Moderate,Male,5.0,No Exam
High,5.9,22,5.9,Moderate,Female,7.2,No Exam
High,4.3,21,6.6,Low,Male,5.3,No Exam
Normal,4.0,18,6.3,High,Male,4.4,No Exam
Normal,6.5,20,6.8,Low,Female,5.6,No Exam
Low,8.1,19,4.7,Low,Female,5.2,No Exam
Normal,5.7,18,8.3,Moderate,Male,1.1,Nearing
High,7.0,19,9.6,Low,Female,6.4,Exam
High,7.6,22,2.8,High,Male,5.8,Exam
Low,5.0,24,3.6,Moderate,Female,5.0,No Exam
High,6.5,20,6.1,Moderate,Female,7.1,Exam
High,5.5,23,5.5,Low,Male,7.4,No Exam
High,8.9,20,9.8,Low,Male,6.6,Exam
High,8.8,22,6.4,Low,Male,3.3,Nearing
Very High,5.0,20,8.8,Moderate,Female,3.4,Exam
Very High,7.1,23,1.9,Moderate,Male,7.2,Exam
Normal,8.1,21,7.6,High,Male,1.2,No Exam
High,7.8,19,4.6,Moderate,Female,4.7,No Exam
Very High,6.6,23,4.5,High,Female,5.9,Exam
High,8.5,18,5.5,Moderate,Male,1.5,No Exam
High,5.1,22,3.2,Low,Male,5.5,Exam
High,6.0,21,6.9,Low,Male,6.9,Nearing
Low,5.2,18,6.4,Moderate,Male,2.0,No Exam
Normal,7.7,18,6.5,Low,Female,8.3,Nearing
Normal,5.6,22,7.8,Low,Female,3.0,No Exam
Normal,6.2,21,9.0,Moderate,Male,6.1,No Exam
High,7.4,24,5.3,High,Male,4.8,No Exam
High,7.5,18,7.0,Low,Male,5.1,Exam
High,5.1,18,6.6,Moderate,Female,2.4,No Exam
Normal,8.1,21,6.8,High,Male,7.5,No Exam
Normal,7.2,20,6.8,Low,Male,5.7,No Exam
High,4.9,18,9.2,Low,Female,8.2,Nearing
Normal,4.5,19,5.1,Low,Female,2.5,No Exam
Normal,6.5,21,2.9,Moderate,Male,4.6,Nearing
High,7.8,18,4.6,Moderate,Male,5.4,No Exam
Low,7.8,22,7.5,High,Female,5.1,No Exam
Low,7.0,23,6.0,Moderate,Male,6.3,No Exam
High,6.6,19,5.1,Low,Male,4.6,Nearing
Normal,7.3,23,3.8,Low,Female,9.2,Nearing
High,5.2,23,6.4,Moderate,Female,5.1,Nearing
High,9.0,18,7.3,Low,Female,1.0,Exam
High,9.0,19,6.6,Low,Male,5.2,No Exam
High,7.1,19,5.5,Low,Female,7.5,Exam
High,6.8,20,6.3,Low,Female,3.2,No Exam
Normal,5.9,23,6.3,Low,Male,3.0,No Exam
High,7.3,19,6.4,Low,Male,3.3,Exam
Normal,5.5,20,3.6,Low,Female,2.8,No Exam
High,3.2,21,6.4,Low,Female,4.0,No Exam
High,3.0,20,5.1,Moderate,Male,6.8,Nearing
Low,5.3,22,8.1,High,Male,8.1,No Exam
High,6.7,24,6.3,Low,Female,1.0,Nearing
High,7.0,18,7.7,Moderate,Female,4.2,Nearing
Very High,5.8,21,5.4,Low,Male,5.6,Exam
Normal,6.7,24,5.5,Moderate,Female,5.4,No Exam
Normal,6.1,24,9.0,High,Male,8.8,No Exam
Low,5.0,21,6.9,Moderate,Female,1.0,No Exam
High,6.4,22,4.6,High,Male,1.0,Nearing
Normal,7.7,20,7.8,Low,Male,9.1,No Exam
Low,5.1,18,4.9,Low,Female,6.5,No Exam
High,5.1,20,6.5,High,Female,3.9,Nearing
Normal,4.9,19,9.7,Low,Male,5.3,No Exam
Very High,3.6,20,3.1,Low,Female,5.5,Exam
High,5.8,21,5.6,Moderate,Female,3.8,No Exam
Normal,7.6,18,6.8,High,Female,5.3,No Exam
High,6.8,20,7.5,High,Male,5.7,Nearing
Normal,6.2,18,3.5,Low,Female,9.0,No Exam
Low,6.7,18,2.9,High,Female,6.9,No Exam
High,5.8,19,8.2,Low,Male,8.5,Nearing
High,3.6,19,4.6,Low,Female,2.3,Nearing
Normal,7.7,21,4.5,Moderate,Female,4.3,No Exam
Low,8.1,22,9.1,Low,Male,5.5,No Exam
High,5.4,24,6.1,Low,Male,1.2,Exam
Normal,6.3,18,6.2,Moderate,Female,7.4,Nearing
Normal,6.1,22,5.6,Low,Female,6.3,Nearing
Normal,7.0,24,3.6,Low,Male,4.3,No Exam
Low,9.0,24,7.4,Low,Male,4.6,No Exam
High,8.2,21,6.8,Low,Female,7.5,Nearing
Normal,5.9,24,6.3,Low,Female,3.4,No Exam
High,7.3,24,5.8,Moderate,Female,7.6,Nearing
High,8.4,18,5.4,Moderate,Male,4.5,Nearing
Normal,7.1,18,7.8,Low,Female,6.5,No Exam
Normal,6.5,23,5.7,High,Male,5.2,No Exam
Normal,7.2,22,5.9,Low,Male,9.5,No Exam
Normal,5.4,20,7.1,Low,Male,3.2,Nearing
High,5.7,19,6.4,High,Female,3.9,No Exam
Low,4.9,20,9.3,Low,Female,2.0,No Exam
Normal,7.0,22,2.5,High,Female,2.8,Nearing
Normal,6.3,19,6.6,Low,Male,6.4,No Exam
Normal,5.3,20,4.6,Moderate,Female,8.2,Nearing
High,6.3,23,4.1,Low,Male,6.7,No Exam
High,7.2,19,5.1,Low,Male,5.0,Nearing
High,9.4,18,6.1,Low,Male,3.2,Nearing
Very High,8.0,20,6.2,Moderate,Male,6.8,Exam
Normal,3.1,19,3.0,Moderate,Male,3.1,No Exam
High,6.9,23,4.9,High,Male,2.3,No Exam
Low,8.6,24,6.6,Low,Female,4.4,No Exam
High,4.5,19,4.2,Low,Male,1.0,Nearing
Normal,7.3,19,3.8,Low,Female,2.2,Nearing
Normal,6.1,23,1.5,Moderate,Male,8.8,No Exam
Normal,8.2,24,4.7,High,Female,1.9,Nearing
High,7.1,20,3.7,Low,Female,2.6,Nearing
Normal,5.2,21,4.0,Moderate,Female,5.1,Nearing
High,6.2,20,5.5,Low,Female,5.2,No Exam
Very High,6.3,24,4.8,Moderate,Male,4.5,Exam
High,6.3,22,3.7,High,Male,1.0,No Exam
High,8.2,23,1.8,Low,Male,6.7,Exam
Normal,5.2,20,6.6,Low,Male,4.1,No Exam
Normal,8.0,19,7.5,High,Female,7.4,No Exam
Low,6.0,23,5.2,High,Female,3.7,No Exam
Low,6.8,18,5.5,Moderate,Female,7.0,No Exam
Normal,6.6,24,6.0,Moderate,Male,7.6,No Exam
Normal,6.5,20,9.2,Low,Female,4.1,No Exam
Normal,6.5,23,2.9,Moderate,Male,6.8,No Exam
High,8.7,20,5.2,High,Female,2.3,Exam
Low,7.8,23,2.6,Moderate,Female,5.5,No Exam
Low,6.0,19,6.7,Low,Female,7.4,No Exam
Low,8.9,18,5.7,Low,Female,6.0,No Exam
High,6.9,18,6.4,Low,Female,9.8,No Exam
High,7.0,22,6.3,Low,Male,6.1,Exam
High,5.2,23,8.0,Low,Female,4.3,Exam
Low,5.8,20,7.1,Low,Male,10.0,No Exam
Very High,5.5,18,7.7,Low,Male,8.3,Exam
Very High,6.6,24,3.9,Low,Male,1.8,Exam
Very High,7.5,18,8.4,Moderate,Male,3.4,Exam
High,7.1,21,4.6,Low,Male,2.9,Nearing
High,8.9,21,4.7,Low,Male,6.3,Nearing
Normal,5.2,18,6.5,Low,Male,6.1,Nearing
High,6.7,23,6.6,Low,Male,6.1,Nearing
Normal,4.6,22,3.9,Moderate,Female,1.7,No Exam
High,5.1,18,5.7,Low,Female,3.7,Nearing
High,8.4,19,9.0,Moderate,Male,4.7,Nearing
Very High,5.8,20,3.1,High,Male,1.4,Exam
Normal,5.3,22,9.0,Moderate,Male,3.3,No Exam
High,3.3,19,5.5,Moderate,Female,7.7,No Exam
Very High,5.3,22,1.3,High,Female,1.9,Exam
High,6.2,19,3.3,Moderate,Male,7.9,Nearing
Normal,4.5,20,4.1,Low,Male,7.2,No Exam
Low,6.1,20,4.8,Low,Female,4.4,No Exam
High,8.4,21,5.8,High,Female,3.7,Nearing
Low,5.4,23,1.0,Low,Male,6.7,No Exam
High,5.1,19,6.4,Low,Male,3.4,Nearing
High,4.8,21,3.9,Moderate,Male,3.5,No Exam
Normal,4.8,19,8.8,High,Male,5.0,No Exam
High,7.3,21,5.5,Low,Female,1.0,Nearing
Normal,6.6,20,7.9,Moderate,Female,2.1,Nearing
Low,7.9,22,8.2,Low,Male,4.4,No Exam
High,9.5,24,8.2,Moderate,Male,6.0,Nearing
High,3.8,21,4.9,Low,Male,3.4,Exam
Normal,7.1,19,4.8,Low,Female,4.6,Nearing
High,4.8,19,5.6,High,Male,1.8,Nearing
Normal,7.7,24,7.3,Low,Male,6.9,No Exam
High,6.1,23,5.0,Moderate,Male,5.4,Nearing
Low,6.5,20,5.8,Low,Female,5.6,No Exam
High,4.6,19,6.5,Low,Male,6.0,Nearing
Normal,5.9,18,4.2,Moderate,Female,5.2,No Exam
Very High,6.6,22,4.1,Low,Male,4.0,Exam
Normal,8.5,21,5.7,Low,Male,7.3,No Exam
High,5.3,23,5.9,Low,Male,5.3,Exam
High,5.7,24,6.9,Moderate,Female,4.7,Nearing
Normal,7.9,22,7.3,High,Male,5.0,No Exam
High,5.2,20,3.8,High,Male,4.9,No Exam
Normal,8.2,23,4.4,Low,Female,4.6,No Exam
High,6.5,21,4.1,Low,Female,5.9,Nearing
High,7.0,21,8.8,Low,Female,3.1,Nearing
Normal,7.1,24,5.8,High,Male,3.3,No Exam
High,5.6,18,6.0,Low,Female,6.1,Nearing
High,7.1,24,6.1,High,Male,4.7,Exam
Normal,5.3,20,4.6,Low,Female,6.9,No Exam
Normal,5.7,23,9.1,High,Female,5.8,No Exam
Normal,7.3,23,6.8,High,Female,3.9,No Exam
Normal,6.9,19,6.1,High,Male,6.2,No Exam
High,6.4,18,3.8,Low,Male,7.4,No Exam
Normal,4.6,18,3.7,Low,Male,5.9,No Exam
High,5.0,23,5.4,Low,Male,6.3,Exam
High,6.9,23,4.6,Low,Male,4.7,No Exam
High,7.6,22,3.9,Low,Male,7.0,Exam
Normal,4.8,22,5.3,Moderate,Male,3.8,Nearing
Low,5.2,22,5.6,Low,Male,5.7,No Exam
High,6.7,18,6.3,Moderate,Male,10.0,Nearing
Low,6.7,19,5.0,Moderate,Female,6.1,No Exam
Normal,4.1,21,4.0,Low,Female,4.2,Nearing
Normal,6.7,22,4.1,High,Male,4.2,Nearing
High,5.6,19,8.4,Low,Male,4.9,Exam
Low,9.0,24,3.5,Low,Male,6.7,No Exam
High,6.9,20,6.7,Low,Male,5.3,Exam
High,7.1,22,7.0,High,Female,3.7,Nearing
Low,7.2,24,5.8,Low,Female,3.7,No Exam
Normal,4.7,21,9.5,Low,Male,5.3,Nearing
Low,9.4,20,7.0,Moderate,Female,5.1,No Exam
Normal,4.1,20,9.7,Low,Female,5.9,Nearing
High,7.7,21,4.7,Moderate,Male,6.8,Nearing
Very High,7.4,22,4.7,High,Male,10.0,Exam
Low,5.8,18,7.1,High,Male,2.1,No Exam
Normal,7.5,21,5.5,Low,Male,6.4,No Exam
Normal,6.0,21,9.4,Low,Female,5.2,Nearing
High,5.5,21,6.7,Low,Male,1.3,No Exam
Very High,7.2,20,3.9,Low,Female,7.5,Exam
High,5.0,19,2.5,Low,Male,5.8,Nearing
High,6.2,24,5.8,Low,Female,6.6,Exam
High,5.6,18,5.8,High,Male,1.6,No Exam
Low,6.0,22,6.6,High,Male,4.6,No Exam
Low,7.1,22,8.4,Low,Female,2.8,No Exam
High,5.6,24,8.2,Low,Female,9.3,Exam
Low,6.2,19,4.8,Low,Female,7.3,No Exam
Very High,5.7,21,3.4,Low,Male,3.6,Exam
Very High,8.7,18,3.5,Moderate,Female,1.9,Exam
Normal,7.0,22,4.5,Moderate,Female,5.4,Nearing
High,6.8,24,5.3,High,Female,7.2,Exam
High,7.5,23,6.6,Moderate,Female,1.5,No Exam
Very High,5.6,24,4.4,Moderate,Female,3.1,Exam
Normal,7.8,22,6.6,Moderate,Female,2.8,No Exam
High,7.0,21,6.7,Low,Female,6.7,Nearing
High,4.2,23,6.3,Moderate,Female,4.3,Nearing
Normal,4.4,19,3.7,Low,Female,4.3,No Exam
Low,5.6,18,6.9,Low,Male,5.3,No Exam
High,4.5,19,10.2,Low,Male,3.2,Exam
High,6.1,19,6.5,Low,Female,2.1,Nearing
Low,5.0,24,1.0,High,Male,7.7,No Exam
High,6.4,18,8.5,Low,Male,7.9,No Exam
Normal,8.6,18,4.6,Low,Female,5.4,Nearing
High,6.4,22,10.5,Low,Female,5.5,Exam
Low,6.0,22,6.2,Moderate,Female,7.5,No Exam
High,7.1,18,2.6,Low,Female,5.3,Exam
High,5.5,23,1.9,High,Female,4.2,No Exam
High,7.8,20,9.1,High,Female,5.1,Nearing
High,7.2,22,8.2,Moderate,Male,7.8,Nearing
Very High,6.6,20,10.5,Moderate,Female,5.1,Exam
Normal,6.7,24,6.0,Low,Male,3.7,Nearing
Normal,9.6,23,5.9,Low,Female,5.3,No Exam
High,7.9,18,5.2,Moderate,Female,6.3,Nearing
High,9.8,23,4.7,Low,Male,6.1,Exam
High,7.3,22,5.2,Low,Female,6.1,Exam
High,4.3,19,6.4,Moderate,Female,3.3,Exam
Normal,6.1,24,4.3,Low,Male,6.5,No Exam
High,3.9,18,2.7,High,Female,5.1,Nearing
High,7.3,21,6.3,Low,Male,3.6,No Exam
Normal,7.6,24,4.3,Moderate,Female,6.5,No Exam
High,5.2,20,1.0,Moderate,Female,4.1,Nearing
High,5.5,23,7.1,Moderate,Male,1.9,Nearing
Low,6.7,18,3.8,Low,Female,3.0,No Exam
High,4.7,24,7.3,Moderate,Male,4.6,No Exam
High,4.6,23,7.3,High,Male,6.2,No Exam
Normal,8.4,18,6.6,Low,Male,3.3,No Exam
Low,6.7,22,11.0,Low,Female,4.5,No Exam
Low,5.7,24,5.7,Moderate,Female,2.6,No Exam
Normal,4.0,22,5.4,Moderate,Male,7.0,No Exam
Normal,7.8,24,7.4,Low,Female,8.4,Nearing
High,5.5,22,5.9,High,Female,8.2,No Exam
High,9.3,23,8.3,Low,Female,6.9,Exam
High,7.8,21,3.5,Low,Male,6.7,Exam
High,5.3,24,3.5,Moderate,Female,1.0,Nearing
Normal,5.4,24,7.5,Moderate,Male,5.4,No Exam
Normal,9.1,22,3.7,High,Female,4.0,Nearing
Low,6.4,18,7.2,High,Female,6.8,No Exam
High,5.7,24,6.7,Low,Male,1.0,Exam
High,6.5,22,4.6,Low,Female,5.4,Nearing
Normal,5.7,19,6.7,Low,Male,4.6,Nearing
Normal,6.9,22,3.5,Moderate,Female,7.2,No Exam
Very High,6.4,23,4.0,High,Male,8.1,Exam
Normal,7.8,21,5.5,Low,Female,3.1,Nearing
High,5.9,19,6.2,Low,Female,3.2,No Exam
High,5.2,23,5.4,Low,Female,5.5,Nearing
Low,6.0,23,6.9,High,Male,8.5,No Exam
High,6.0,23,6.8,Low,Male,5.1,No Exam
Normal,6.4,18,9.1,Low,Male,2.4,No Exam
Very High,7.5,23,5.8,Moderate,Female,3.8,Exam
High,7.4,18,8.4,High,Male,5.4,Nearing
High,8.3,23,7.8,Moderate,Male,5.5,Nearing
High,5.3,20,10.6,Moderate,Male,3.6,Nearing
High,7.1,19,5.7,Low,Male,3.7,Nearing
High,7.6,20,5.2,Moderate,Male,3.0,Nearing
Normal,5.5,23,8.5,Moderate,Male,7.3,No Exam
High,6.2,19,6.8,High,Male,3.3,No Exam
Normal,3.9,19,8.6,Low,Male,4.1,Nearing
Low,7.9,24,7.4,Low,Male,4.0,No Exam
Normal,6.2,21,1.8,Low,Male,1.8,Nearing
Low,7.7,20,6.8,Low,Female,3.3,No Exam
Normal,6.8,21,6.6,High,Female,7.5,Nearing
Very High,6.2,19,6.3,Low,Male,2.6,Exam
Low,4.1,18,5.7,Low,Female,3.1,No Exam
Normal,4.4,19,2.8,Low,Female,2.3,No Exam
Low,3.0,21,7.7,Low,Male,4.8,No Exam
High,5.7,20,6.7,Low,Male,8.8,No Exam
Very High,9.9,23,8.2,Low,Male,4.7,Exam
High,4.6,24,2.9,Low,Female,5.1,Nearing
High,3.0,24,7.0,Moderate,Male,3.4,No Exam
Low,7.9,24,5.5,Moderate,Female,4.9,No Exam
Very High,10.0,23,6.3,Low,Male,7.5,Exam
High,6.9,24,5.6,High,Female,5.3,Exam
High,6.9,20,7.1,Moderate,Female,9.3,Nearing
High,6.0,23,5.7,Moderate,Male,7.5,Exam
Normal,3.8,24,3.9,Low,Male,4.8,No Exam
High,4.3,23,6.2,Low,Female,4.8,Nearing
Low,6.0,21,5.6,Low,Female,8.3,No Exam
High,5.7,20,5.8,Low,Male,5.3,Exam
Normal,6.3,22,1.0,Low,Male,7.8,Nearing
Low,7.7,18,7.4,High,Female,9.0,No Exam
Normal,5.6,24,5.4,Low,Male,4.6,No Exam
Low,7.8,18,3.3,Low,Female,5.7,No Exam
Low,5.6,23,7.8,Moderate,Male,7.0,No Exam
Low,8.1,18,7.3,Low,Male,6.5,No Exam
High,6.6,20,5.3,Moderate,Male,6.5,Nearing
Low,5.8,20,3.7,Moderate,Female,2.3,No Exam
Normal,6.6,19,6.4,Moderate,Male,3.3,Nearing
Low,6.1,24,6.2,High,Female,4.0,No Exam
Normal,6.7,19,7.8,Low,Male,7.4,No Exam
High,7.6,18,5.1,Moderate,Female,2.5,No Exam
Low,6.4,22,8.4,High,Female,8.0,No Exam
Low,5.9,19,4.9,Moderate,Male,6.6,No Exam
Normal,4.8,19,3.3,Low,Female,7.3,No Exam
Normal,7.4,20,3.7,High,Female,3.1,No Exam
High,7.0,22,5.9,Low,Female,5.1,Exam
Normal,4.7,23,5.9,High,Female,5.6,No Exam
High,7.8,18,6.7,Low,Male,5.5,Nearing
High,4.7,19,5.8,Moderate,Male,5.6,Exam
Normal,8.0,22,8.0,High,Male,4.4,No Exam
